"U_34,mV","I_M,mA","U_0,mV","I_0,mA","E, mV",N,"t,ms"
0.016666666666666666,0.016666666666666666,0.016666666666666666,0.00016666666666666666,0,1,1
16.7,16.7,0.016666666666666666,0.16699999999999998,5.0,1,1002
33.38333333333333,33.38333333333333,0.016666666666666666,0.3338333333333333,10.0,1,2003
50.06666666666667,50.06666666666667,0.016666666666666666,0.5006666666666667,15.0,1,3004
66.75,66.75,0.016666666666666666,0.6675,20.0,1,4005
83.43333333333334,83.43333333333334,0.016666666666666666,0.8343333333333334,25.0,1,5006
100.11666666666666,100.11666666666666,0.016666666666666666,1.0011666666666665,30.0,1,6007
142.81666666666666,142.81666666666666,142.81666666666666,1.4281666666666666,0,2,8569
172.68333333333334,172.68333333333334,172.68333333333334,1.7268333333333334,0,3,10361
212.01666666666668,212.01666666666668,212.01666666666668,2.120166666666667,0,5,12721
235.11666666666667,235.11666666666667,235.11666666666667,2.351166666666667,0,6,14107
256.65,256.65,256.65,2.5664999999999996,0,7,15399
