"B,mTl","E,mV","I_M,mA","t,ms"
20,36.416666666666664,18.208333333333332,2185
15,159.03333333333333,79.51666666666667,9542
26,179.18333333333334,89.59166666666667,10751
14,191.48333333333332,95.74166666666666,11489
50,205.06666666666666,102.53333333333333,12304
16,221.6,110.8,13296
17,236.51666666666668,118.25833333333334,14191
18,249.28333333333333,124.64166666666667,14957
50,261.51666666666665,130.75833333333333,15691
16,273.4166666666667,136.70833333333334,16405
14,284.8666666666667,142.43333333333334,17092
20,317.1166666666667,158.55833333333334,19027
15,332.1666666666667,166.08333333333334,19930
10,346.03333333333336,173.01666666666668,20762
4,354.5833333333333,177.29166666666666,21275
4,360.5833333333333,180.29166666666666,21635
4,365.85,182.925,21951
4,370.96666666666664,185.48333333333332,22258
4,376.31666666666666,188.15833333333333,22579
7,382.3,191.15,22938
